Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2016-01-01,"Clarke County, GA",13059,1392,28.2,38.25,38.35,3211.45,27.33,10.31
2016-01-01,"Volusia County, FL",12127,5032,27.91,38.5,38.73,3271.01,26.53,11.35
2016-01-01,"Shelby County, AL",01117,2387,29.36,38.5,38.56,3300.62,26.84,10.9
2016-01-01,"Leon County, FL",12073,2989,28.49,38.5,38.69,3247.48,26.95,9.28
2016-01-01,"Lee County, FL",12071,6750,28.3,38.33,38.49,3253.85,26.96,10.22
2016-01-01,"Okaloosa County, FL",12091,2784,27.78,38.33,38.54,3285.74,26.11,11.39
2016-01-01,"St. Johns County, FL",12109,2120,30.29,38.58,38.82,3338.62,25.66,10.79
2016-01-01,"St. Lucie County, FL",12111,2999,28.41,38.41,38.63,3245.15,27.13,10.12
2016-01-01,"DeKalb County, GA",13089,11060,29.37,38.41,38.44,3177.3,26.48,10.35
2016-01-01,"Bibb County, GA",13021,2191,26.8,37.91,38.39,3065.96,27.63,11.31
2016-01-01,"Clayton County, GA",13063,3809,27.61,38.24,38.5,3115.83,28.68,9.42
2016-01-01,"Chatham County, GA",13051,3975,28.16,38.24,38.38,3178.28,27.85,9.88
2016-01-01,"Muscogee County, GA",13215,2912,27.26,38.15,38.35,3158.87,27.33,11.21
2016-01-01,"Lake County, FL",12069,3269,27.91,38.4,38.51,3273.35,27.16,9.83
2016-01-01,"Martin County, FL",12085,1273,29.17,38.65,38.81,3281.01,26.06,11.08
2016-01-01,"Sarasota County, FL",12115,2926,28.69,38.65,38.85,3319.25,25.74,11.7
2016-01-01,"Pasco County, FL",12101,5108,28.49,38.48,38.74,3275.61,26.37,11.37
2016-01-01,"Collier County, FL",12021,3322,29.11,38.48,38.63,3300.36,26.58,9.67
2016-01-01,"Bartow County, GA",13015,1338,27.26,38.48,38.87,3307.74,28.34,12.35
2016-01-01,"Broward County, FL",12011,22563,30.02,38.31,38.39,3193.61,26.09,10.47
2016-01-01,"Citrus County, FL",12017,1064,26.83,38.56,38.72,3312.99,26.95,10.12
2016-01-01,"Pinellas County, FL",12103,8480,28.92,38.56,38.78,3270.94,26.12,11.15
2016-01-01,"Cherokee County, GA",13057,2700,29.51,38.56,38.78,3328.18,26.32,12.64
2016-01-01,"Houston County, GA",13153,1956,27.77,38.22,38.57,3224.88,27.86,10.85
2016-01-01,"Escambia County, FL",12033,3967,27.33,38.22,38.45,3211.61,27.39,10.36
2016-01-01,"Duval County, FL",12031,13292,28.14,38.3,38.5,3207.61,27.16,9.72
2016-01-01,"Henry County, GA",13151,2511,28.55,38.3,38.66,3203.98,27.54,11.22
2016-01-01,"Charlotte County, FL",12015,1037,27.64,38.3,38.29,3197.55,26.39,10.13
2016-01-01,"Carroll County, GA",13045,1615,26.61,38.55,38.7,3259.19,27.48,11
2016-01-01,"Orange County, FL",12095,16653,29.13,38.38,38.39,3231.74,26.34,9.75
2016-01-01,"Alachua County, FL",12001,2862,29,38.38,38.53,3216.7,26.84,11
2016-01-01,"Clay County, FL",12019,2209,27.96,38.38,38.61,3264.68,26.59,10.22
2016-01-01,"Unidentified Counties, GA",13999,41842,26.7,38.21,38.38,3201.92,27.98,11.25
2016-01-01,"Mobile County, AL",01097,5504,26.95,37.96,38.22,3144.94,27.58,10.95
2016-01-01,"Montgomery County, AL",01101,3139,27.22,37.96,38.09,3083.67,28.16,9.95
2016-01-01,"Lowndes County, GA",13185,1605,26.88,38.04,38.37,3177.82,28.25,12.35
2016-01-01,"Houston County, AL",01069,1333,26.95,38.29,38.27,3181.58,28.5,11.61
2016-01-01,"Manatee County, FL",12081,3445,28.23,38.54,38.67,3283.94,27.01,11.26
2016-01-01,"Indian River County, FL",12061,1245,28.17,38.37,38.65,3246.83,27.23,12.65
2016-01-01,"Baldwin County, AL",01003,2247,27.72,38.37,38.56,3287.43,26.7,11.5
2016-01-01,"Unidentified Counties, AL",01999,23128,26.46,38.2,38.34,3199.02,28.08,10.63
2016-01-01,"Paulding County, GA",13223,1644,28.56,38.45,38.66,3312.76,27.22,13.32
2016-01-01,"Etowah County, AL",01055,1214,26.33,38.45,38.64,3239.61,28.13,9.9
2016-01-01,"Hernando County, FL",12053,1585,27.32,38.45,38.76,3247.24,26.71,10.92
2016-01-01,"Tuscaloosa County, AL",01125,2591,27.03,38.11,38.2,3158.02,27.88,9.25
2016-01-01,"Miami-Dade County, FL",12086,32697,29.77,38.36,38.49,3214.67,25.63,11.79
2016-01-01,"Lee County, AL",01081,1898,27.94,38.36,38.65,3230.87,26.82,12.13
2016-01-01,"Gwinnett County, GA",13135,11365,29.7,38.36,38.51,3224.48,26.59,11
2016-01-01,"Cobb County, GA",13067,9579,29.89,38.44,38.66,3254.64,26.53,12.68
2016-01-01,"Osceola County, FL",12097,4328,28.43,38.44,38.54,3239.32,26.74,11.42
2016-01-01,"Columbia County, GA",13073,1831,29.13,38.44,38.86,3299.37,26.29,11.25
2016-01-01,"Hall County, GA",13139,2574,27.83,38.44,38.6,3299.62,27.34,11.86
2016-01-01,"Calhoun County, AL",01015,1357,26.46,38.27,38.45,3186.59,28.26,11.01
2016-01-01,"Jefferson County, AL",01073,8655,28.12,38.27,38.34,3174.79,27.17,10.61
2016-01-01,"Seminole County, FL",12117,4753,29.62,38.52,38.73,3288.6,26.34,10.34
2016-01-01,"Madison County, AL",01089,4228,28.32,38.1,38.23,3210.99,27.25,10.03
2016-01-01,"Santa Rosa County, FL",12113,1906,28.32,38.35,38.58,3315.42,26.38,11.25
2016-01-01,"Coweta County, GA",13077,1634,28.33,38.35,38.57,3265.52,26.89,11.84
2016-01-01,"Bay County, FL",12005,2343,27.34,38.35,38.56,3262,27.09,10.79
2016-01-01,"Fulton County, GA",13121,13123,29.56,38.35,38.53,3155.52,26.61,10.57
2016-01-01,"Douglas County, GA",13097,1693,28.27,38.35,38.44,3193.2,27.86,12
2016-01-01,"Richmond County, GA",13245,3061,27,38.18,38.57,3135.18,27.75,10.85
2016-01-01,"Polk County, FL",12105,7804,27.33,38.43,38.66,3265.21,27.63,10
2016-01-01,"Marion County, FL",12083,3472,27,38.43,38.6,3219.97,27.14,10.13
2016-01-01,"Whitfield County, GA",13313,1424,26.98,38.26,38.65,3270.21,28.92,12.64
2016-01-01,"Morgan County, AL",01103,1470,26.78,38.26,38.23,3224.74,27.5,11.04
2016-01-01,"Forsyth County, GA",13117,2297,30.95,38.51,38.72,3329.19,25.61,12.39
2016-01-01,"Brevard County, FL",12009,5273,28.51,38.51,38.8,3287.98,26.14,11.78
2016-01-01,"Unidentified Counties, FL",12999,13182,27.06,38.34,38.54,3243.97,27.46,10.18
2016-01-01,"Hillsborough County, FL",12057,17325,28.69,38.42,38.64,3241.03,26.02,10.9
2016-01-01,"Palm Beach County, FL",12099,14965,29.65,38.42,38.54,3234.42,26.06,11.43
2016-01-01,"Fayette County, GA",13113,911,30.47,38.42,38.62,3287.8,26.05,11.98
2017-01-01,"Montgomery County, AL",01101,3172,27.15,38.08,38.18,3099.5,28.73,9.96
2017-01-01,"Muscogee County, GA",13215,2791,27.23,37.99,38.21,3121.49,27.56,11.31
2017-01-01,"Mobile County, AL",01097,5607,27.1,38.07,38.27,3158.62,27.87,10.84
2017-01-01,"Madison County, AL",01089,4253,28.42,38.13,38.21,3214.86,27.35,9.86
2017-01-01,"Morgan County, AL",01103,1435,26.7,38.12,38.15,3201.54,27.76,10.78
2017-01-01,"Jefferson County, AL",01073,8706,28.32,38.27,38.25,3150.12,27.34,10.47
2017-01-01,"Palm Beach County, FL",12099,15050,29.79,38.41,38.5,3218.24,26.16,11.2
2017-01-01,"Alachua County, FL",12001,2824,28.93,38.32,38.5,3203.21,27.06,10.66
2017-01-01,"Unidentified Counties, FL",12999,13012,27.15,38.3,38.5,3241.23,27.72,10.38
2017-01-01,"Hillsborough County, FL",12057,17416,28.76,38.4,38.58,3221.31,26.52,10.72
2017-01-01,"Fayette County, GA",13113,886,30.37,38.42,38.58,3239.11,26.7,12.29
2017-01-01,"Broward County, FL",12011,22322,30.16,38.33,38.41,3189.79,26.24,10.33
2017-01-01,"Chatham County, GA",13051,3712,28.21,38.18,38.41,3176.98,27.85,9.76
2017-01-01,"Shelby County, AL",01117,2283,29.49,38.43,38.41,3285.29,26.89,10.76
2017-01-01,"Bartow County, GA",13015,1307,27.1,38.37,38.49,3282.15,28.02,12.54
2017-01-01,"Sarasota County, FL",12115,2824,29.16,38.59,38.74,3312.13,25.75,11.79
2017-01-01,"Leon County, FL",12073,3132,28.54,38.41,38.57,3214.11,27.21,10.77
2017-01-01,"Calhoun County, AL",01015,1338,26.46,38.25,38.4,3194.95,28.74,10.76
2017-01-01,"Cobb County, GA",13067,9588,30.04,38.41,38.65,3232.68,26.73,12.76
2017-01-01,"Forsyth County, GA",13117,2302,30.96,38.46,38.65,3322.58,26.21,12.73
2017-01-01,"Santa Rosa County, FL",12113,1924,28.29,38.36,38.65,3319.82,26.76,11.38
2017-01-01,"Volusia County, FL",12127,4986,28.15,38.43,38.65,3255.74,26.75,11.26
2017-01-01,"Etowah County, AL",01055,1213,26.29,38.29,38.48,3228.29,29.01,9.69
2017-01-01,"Clay County, FL",12019,2197,28.41,38.35,38.48,3278.69,27.2,10.61
2017-01-01,"Carroll County, GA",13045,1613,26.99,38.61,38.73,3279.65,27.93,11.19
2017-01-01,"Martin County, FL",12085,1271,28.92,38.72,38.98,3298.89,25.88,10.69
2017-01-01,"Tuscaloosa County, AL",01125,2538,27.43,38.16,38.31,3181.21,27.98,9.65
2017-01-01,"Lee County, AL",01081,1898,28.1,38.36,38.56,3230.81,27.04,12.65
